county	state	male	female	white	black	asian	hispanic	total_population	young	mid_age	senior
Bleckley County	Georgia	0.47676605	0.52323395	0.7108322	0.26779377	0.0015807153	0.024810357	232806	0.64412	0.1855021	0.17037791
Ste. Genevieve County	Missouri	0.50564027	0.49435973	0.9683825	0.007084989	0.0031050735	0.009463081	324630	0.62516713	0.1749715	0.19986138
Graves County	Kentucky	0.48984233	0.51015764	0.92815506	0.04514385	0.0036706915	0.05839466	671808	0.63360065	0.18169923	0.18470009
Latah County	Idaho	0.51385397	0.486146	0.9353812	0.0091416165	0.007939079	0.038478266	685218	0.62901735	0.2343911	0.13659157
Autauga County	Alabama	0.48743898	0.512561	0.7859891	0.18244651	0.004822143	0.024968345	988772	0.64152807	0.19983879	0.15863313
Alger County	Michigan	0.547827	0.452173	0.85938543	0.067094974	0.04076345	0.01281405	170594	0.58900666	0.1715418	0.23945156
Jackson County	South Dakota	0.50415736	0.49584264	0.42963946	0.004681386	0.5194941	0.02585243	57248	0.6822247	0.16687046	0.15090483
Hill County	Montana	0.50493246	0.4950675	0.7320578	0.00400977	0.2248253	0.028997896	294780	0.65077007	0.18282448	0.16640545
Washington County	Vermont	0.4946474	0.5053526	0.96221286	0.008585173	0.0026978755	0.017658139	1066024	0.6158792	0.18597424	0.19814657
Box Butte County	Nebraska	0.49481705	0.505183	0.9255978	0.0060443184	0.04276306	0.112016775	203166	0.63764113	0.16604649	0.19631237
Sullivan County	New Hampshire	0.49344018	0.5065598	0.9691755	0.005469932	0.0033619695	0.012911912	779900	0.61144376	0.1771458	0.21141043
Divide County	North Dakota	0.5139817	0.4860183	0.97114575	0.006285573	0.007027963	0.024251424	40410	0.6052957	0.14830488	0.2463994
Sonoma County	California	0.49054435	0.5094557	0.87753683	0.018649187	0.021936767	0.25583044	8858188	0.61924547	0.19289565	0.18785885
Crawford County	Pennsylvania	0.48886755	0.5111324	0.96306413	0.018088566	0.0020925987	0.010730268	1578898	0.6251582	0.1766194	0.19822243
Mason County	Washington	0.5167609	0.4832391	0.88827413	0.012553797	0.043960173	0.08546028	1096720	0.60993415	0.17139652	0.21866931
Suffolk County	Massachusetts	0.48274004	0.51725996	0.62732583	0.24888301	0.007526548	0.21053252	13489318	0.608733	0.2598193	0.13144772
Golden Valley County	North Dakota	0.49827078	0.50172925	0.9732755	0.0062252404	0.008740489	0.02527825	31806	0.6317676	0.15280136	0.21543105
Monroe County	Kentucky	0.49675608	0.5032439	0.96546334	0.02197226	0.0010898734	0.027483318	194518	0.625757	0.17734605	0.19689694
Dolores County	Colorado	0.51817584	0.48182416	0.93934083	0.0022446075	0.03257418	0.046863023	36532	0.61756814	0.15739626	0.22503558
Lincoln County	Kansas	0.49900353	0.5009965	0.9773085	0.0040208385	0.0063634138	0.024824306	57202	0.63058984	0.14445299	0.22495717
Charleston County	South Carolina	0.4844409	0.5155591	0.6735254	0.29173785	0.004350962	0.05147944	6624742	0.6160148	0.21746734	0.16651788
Franklin County	Kentucky	0.48321307	0.51678693	0.85068977	0.10726961	0.002828946	0.028495202	894326	0.6220293	0.19475895	0.18321171
Garfield County	Oklahoma	0.49616235	0.50383765	0.87058717	0.031686574	0.028564222	0.103035875	1110060	0.63769794	0.19004649	0.17225556
Jefferson County	Mississippi	0.49636638	0.5036336	0.13524105	0.8576964	0.0019008905	0.005424849	136778	0.62814194	0.19759756	0.17426048
Coffee County	Tennessee	0.48695713	0.51304287	0.93110156	0.03611277	0.003997493	0.039183762	960602	0.6323732	0.18536605	0.1822607
Chickasaw County	Iowa	0.50251025	0.49748975	0.9853999	0.005192362	0.0010674193	0.02213538	221094	0.6309624	0.15991388	0.20912372
Washtenaw County	Michigan	0.49403447	0.50596553	0.75077355	0.12809269	0.0039043701	0.042850744	6349808	0.6270613	0.22624385	0.14669482
Carroll County	Virginia	0.4941638	0.5058362	0.9814037	0.0069647674	0.0029487775	0.028004091	537850	0.6097871	0.17146602	0.21874686
Adams County	Wisconsin	0.53677505	0.46322492	0.9411307	0.031323817	0.011351167	0.037950736	370006	0.5865256	0.15684341	0.256631
Gates County	North Carolina	0.48954478	0.51045525	0.64118546	0.33016223	0.0056236116	0.01678648	213386	0.6237101	0.17793107	0.19835885
White County	Illinois	0.4854922	0.5145078	0.98044187	0.005260941	0.0034996362	0.012160662	261170	0.61690086	0.16708274	0.21601638
Kit Carson County	Colorado	0.5579566	0.4420434	0.94180644	0.027052276	0.010303695	0.19268316	147714	0.6225882	0.19578375	0.181628
Hancock County	Tennessee	0.495274	0.504726	0.97923553	0.004003389	0.0032724796	0.0035382647	120398	0.6169289	0.17736176	0.2057094
Lee County	Virginia	0.5217215	0.4782785	0.9454561	0.039265286	0.004195348	0.017155977	453836	0.60808307	0.19497351	0.19694339
Petersburg city	Virginia	0.46451077	0.53548926	0.17695022	0.7890382	0.0034391817	0.042002954	578626	0.6150553	0.20258163	0.18236305
Wahkiakum County	Washington	0.5001796	0.49982044	0.9389762	0.0035912595	0.015608166	0.03453134	72398	0.59900826	0.12987928	0.27111247
Morgan County	Alabama	0.49256003	0.50744	0.8392149	0.12332977	0.010786454	0.07757235	2152700	0.6290946	0.193818	0.17708738
Fairfield County	South Carolina	0.47823855	0.5217614	0.3917677	0.58911264	0.0026180248	0.017931808	420928	0.61887306	0.17483988	0.20628706
Pierce County	Nebraska	0.50434726	0.4956527	0.9847074	0.0030523525	0.0033760867	0.014753037	129736	0.6375717	0.16522014	0.19720818
Bottineau County	North Dakota	0.5195461	0.48045394	0.9472561	0.0058096205	0.023865176	0.01773374	118080	0.6165989	0.15613991	0.22726119
Jefferson County	Kentucky	0.48285046	0.5171495	0.73711324	0.21382084	0.0026045374	0.046335388	13538680	0.62633014	0.20217082	0.17149907
Carroll County	Arkansas	0.4919802	0.5080198	0.9502704	0.005899574	0.011932041	0.1379856	496646	0.62190574	0.16432227	0.21377198
San Miguel County	New Mexico	0.4967197	0.50328034	0.9214496	0.018659867	0.028518204	0.7728032	518546	0.6229843	0.17920493	0.1978108
Elk County	Pennsylvania	0.49929178	0.5007082	0.98437315	0.003927899	0.0013387353	0.006520595	566206	0.61123335	0.1710102	0.21775644
Polk County	North Carolina	0.4789205	0.52107954	0.93139815	0.04472753	0.0051424117	0.055977575	366754	0.600337	0.14598341	0.25367957
Cochran County	Texas	0.4940343	0.5059657	0.9195272	0.044788722	0.023459012	0.55192924	54478	0.6586879	0.17636476	0.16494732
Windham County	Vermont	0.4914253	0.50857466	0.955689	0.01101522	0.0028523353	0.019946137	791632	0.60855675	0.17362107	0.21782216
Whatcom County	Washington	0.4954092	0.5045908	0.87861913	0.011394439	0.031967793	0.08439902	3711986	0.62139565	0.20800751	0.17059682
Clay County	Tennessee	0.49437594	0.50562406	0.96876156	0.0143093085	0.003602244	0.019278413	140468	0.61151296	0.16910613	0.21938093
Northumberland County	Pennsylvania	0.5009323	0.49906775	0.95927155	0.023672346	0.002213297	0.02772651	1691594	0.61093736	0.18264194	0.20642069
Johnson County	Texas	0.49964568	0.5003543	0.933119	0.029390795	0.009503761	0.19102581	2785634	0.64654404	0.19531712	0.15813887
St. James Parish	Louisiana	0.48644677	0.51355326	0.4887843	0.49962997	0.0023375575	0.013601727	391862	0.6356064	0.1879871	0.17640649
Monmouth County	New Jersey	0.4866296	0.5133704	0.85096204	0.07649899	0.002905072	0.10099578	11318136	0.62699	0.18577918	0.18723083
Madison County	North Carolina	0.49467698	0.50532305	0.9654082	0.014152393	0.0036916982	0.022605693	377604	0.6145645	0.17819992	0.20723562
Cloud County	Kansas	0.48985872	0.5101413	0.96711475	0.006946252	0.0049463944	0.031003715	169012	0.63100845	0.16575746	0.20323409
Bourbon County	Kansas	0.49232686	0.50767314	0.9300509	0.03075226	0.00848184	0.022412032	268338	0.64326334	0.16787037	0.18886629
