county,state,male,female,white,black,asian,hispanic,total_population,young,mid_age,senior
Boone,AR,0.49192107,0.50807893,0.9658953,0.003072413,0.00776031,0.02119875,668530,0.625408,0.17783496,0.19675706
Greer,OK,0.57070965,0.42929038,0.85660756,0.07452933,0.03347212,0.10340333,110480,0.6079381,0.21096127,0.18110065
St. Clair,AL,0.50022715,0.49977285,0.8865214,0.08934789,0.003633012,0.021744706,1536466,0.6273663,0.19964907,0.17298463
Lamar,TX,0.48282465,0.5171753,0.81688505,0.13439918,0.016202094,0.06921088,894946,0.6328784,0.18159755,0.18552405
Flagler,FL,0.48085064,0.51914936,0.8392673,0.11474061,0.003643212,0.09340053,1798962,0.6041017,0.15172471,0.24417359
Johnson,WY,0.5079326,0.4920674,0.9614314,0.00611296,0.013287918,0.039837852,154426,0.62076336,0.16154663,0.21769002
Gray,TX,0.5247211,0.4752789,0.9094811,0.052609015,0.013110841,0.2590694,410500,0.63621193,0.19346894,0.17031913
Idaho,ID,0.5223873,0.47761264,0.94260216,0.003486722,0.030145474,0.029005976,293112,0.6129056,0.14563376,0.2414606
Chautauqua,NY,0.49462956,0.50537044,0.9417764,0.026545355,0.00641965,0.066577986,2395146,0.624273,0.18039945,0.19532755
Ottawa,ME,0.49136764,0.50863236,0.9320463,0.017079577,0.005795471,0.090244584,4882088,0.64868903,0.19713163,0.15417932
Fayette,KY,0.49145323,0.50854677,0.78664476,0.14980963,0.003621089,0.068634704,5494480,0.6240081,0.23179974,0.14419217
Cache,UT,0.49864748,0.50135255,0.93713754,0.008013989,0.009291112,0.101792745,2095336,0.67883766,0.22091779,0.100244544
Nicholas,KY,0.49675497,0.503245,0.9817683,0.006897633,0.001504938,0.017510582,127580,0.6285703,0.18503684,0.18639286
Cleveland,OK,0.49957418,0.5004258,0.80654025,0.046750776,0.049993742,0.07588767,4778958,0.63211375,0.22476155,0.14312471
Columbia,WA,0.49547455,0.5045254,0.9454732,0.004954469,0.016302694,0.065487556,72258,0.60551083,0.14813584,0.24635334
Hart,KY,0.49482656,0.50517344,0.934534,0.047516014,0.001964221,0.01591321,330920,0.63469416,0.18092288,0.18438293
Grady,GA,0.48442927,0.5155707,0.6752829,0.2911948,0.011961818,0.10375317,451938,0.6392182,0.18550111,0.17528068
York,NE,0.4886492,0.5113508,0.96237373,0.013924296,0.006066669,0.044233438,247912,0.6276098,0.1741142,0.198276
Lamar,ME,0.48235023,0.51764977,0.7733924,0.1993208,0.002709166,0.023356995,1045340,0.64126694,0.21747278,0.14126027
McLean,KY,0.49355462,0.5064454,0.98000354,0.00714077,0.00352948,0.012411617,171130,0.6284871,0.17725122,0.19426167
Madison,AL,0.48946637,0.51053363,0.6965982,0.24461527,0.008356078,0.046509277,6190464,0.62948465,0.20470695,0.16580841
Mercer,KY,0.4890073,0.5109927,0.9365756,0.0369785,0.003062047,0.023986898,384710,0.6255413,0.178025,0.19643368
Lyon,KY,0.5542281,0.44577187,0.9284248,0.05425478,0.002160058,0.012667004,149996,0.5839956,0.18070482,0.2352996
Baldwin,AL,0.48795795,0.51204205,0.87435347,0.093932204,0.007470279,0.043796226,3463860,0.62371576,0.18164071,0.19464354
Pemiscot,ME,0.47435355,0.52564645,0.7116359,0.26650563,0.00388112,0.022032341,322072,0.648976,0.17895688,0.17206712
Ohio,KY,0.49970412,0.5002959,0.9735964,0.012334948,0.002912675,0.03571957,432592,0.634413,0.18368809,0.18189888
Colbert,AL,0.48113835,0.51886165,0.81040543,0.16222198,0.005768555,0.022488177,979448,0.62057406,0.18327364,0.19615233
Alameda,CA,0.4902029,0.5097971,0.52111906,0.12562464,0.011414751,0.22540721,28184582,0.62247694,0.22313316,0.15438995
Yellowstone,MT,0.49000087,0.5099991,0.9163569,0.006833368,0.04362107,0.050372742,2741840,0.6293485,0.19341026,0.17724119
Story,IA,0.5197241,0.4802759,0.8844321,0.02697205,0.002371209,0.031106371,1667504,0.6300183,0.24650915,0.123472564
Noble,IN,0.50023365,0.49976632,0.97590804,0.00585357,0.003364926,0.098328285,855888,0.64331317,0.18665527,0.17003159
Chouteau,MT,0.4948607,0.5051393,0.76769197,0.001601861,0.20961498,0.019203264,104878,0.63944775,0.15951867,0.20103358
Baker,OR,0.50495917,0.4950408,0.9519436,0.004973026,0.012636603,0.03631899,289160,0.6095864,0.15323004,0.23718357
Woodson,KS,0.50066864,0.49933136,0.96118367,0.004629153,0.01268731,0.024380207,58326,0.61329424,0.15271063,0.23399512
Petersburg city,VA,0.46451077,0.53548926,0.17695022,0.7890382,0.003439182,0.042002954,578626,0.6150553,0.20258163,0.18236305
Henry,IL,0.49836716,0.5016328,0.96244705,0.017005896,0.002690286,0.05152642,900276,0.6283318,0.17305249,0.19861576
Christian,IL,0.50813323,0.49186677,0.9677523,0.015005721,0.001873284,0.014487164,617098,0.6196747,0.18472755,0.19559778
Choctaw,AL,0.47897273,0.52102727,0.56442225,0.4273297,0.00171047,0.006957008,243208,0.6191696,0.17043024,0.21040015
Divide,ND,0.5139817,0.4860183,0.97114575,0.006285573,0.007027963,0.024251424,40410,0.6052957,0.14830488,0.2463994
Candler,GA,0.49374065,0.5062593,0.73194885,0.24698138,0.00178694,0.11074991,198104,0.6392248,0.1834693,0.17730586
Madison,FL,0.52520335,0.47479668,0.5882131,0.38944095,0.00624554,0.047811702,339122,0.6148731,0.19383879,0.19128808
Mason,WA,0.5167609,0.4832391,0.88827413,0.012553797,0.043960173,0.08546028,1096720,0.60993415,0.17139652,0.21866931
New York,NY,0.4715085,0.5284915,0.65153986,0.18338735,0.01196177,0.25722498,29089508,0.58507586,0.25729942,0.15762474
Jones,NC,0.48366114,0.5163389,0.65497196,0.31600922,0.007625536,0.04087463,182020,0.61146575,0.16953082,0.21900341
Grayson,TX,0.48807693,0.5119231,0.886911,0.060531538,0.017649151,0.11929599,2210418,0.6333965,0.18243201,0.1841715
Alfalfa,OK,0.5928753,0.40712467,0.8967232,0.042596586,0.03533205,0.046481363,102966,0.60266495,0.19021814,0.20711692
Calhoun,IL,0.5001772,0.49982277,0.98921084,0.002193274,0.001838805,0.009681421,90276,0.6161438,0.1659688,0.21788737
Montgomery,TX,0.49530852,0.5046915,0.9016599,0.046063777,0.009963366,0.21800128,8873306,0.64785266,0.19878781,0.15335953
Dakota,NE,0.4993569,0.5006431,0.8705003,0.039653104,0.037801202,0.3681281,374750,0.6615637,0.1898946,0.14854169
Benton,WA,0.50049573,0.49950424,0.91341305,0.015588725,0.011792913,0.19653964,3289942,0.64746004,0.19221129,0.16032866
Mahnomen,ME,0.50514853,0.49485144,0.4864876,0.003540904,0.42065528,0.027533578,98280,0.66280013,0.15692918,0.18027066
Cherokee,GA,0.49301308,0.5069869,0.8959117,0.0616656,0.005069065,0.09782705,4029540,0.64473015,0.20675388,0.14851595
St. James Parish,LA,0.48644677,0.51355326,0.4887843,0.49962997,0.002337558,0.013601727,391862,0.6356064,0.1879871,0.17640649
York,PA,0.49397725,0.50602275,0.9009803,0.06272989,0.003187022,0.062285826,7890752,0.6267665,0.19191314,0.18132035
Clinton,NY,0.5128122,0.4871878,0.92647606,0.042368826,0.003902374,0.026445346,1471412,0.61410874,0.2092174,0.17667383
Jackson,WV,0.49430084,0.50569916,0.98172396,0.003577648,0.002068268,0.007524085,526044,0.6213758,0.1783406,0.20028363
Maverick,TX,0.49189937,0.5081006,0.9728599,0.004376729,0.014409968,0.9553391,1004860,0.68157953,0.18958363,0.12883686
Appomattox,VA,0.48522392,0.5147761,0.7771432,0.19908181,0.00273116,0.011737399,273144,0.62048954,0.17782195,0.20168848
Platte,WY,0.5025187,0.4974813,0.9694949,0.005126701,0.006886613,0.07359749,156826,0.61135906,0.15594353,0.23269738
